location;core;transectid;treatm;fate;predtype;headatt;birdatt;mammatt;missing;destroyed;time;rodent
Weidlingbach;0;WB2;LS;0;none;0;0;0;0;0;4;1
Weidlingbach;0;WB2;SS;0;none;0;0;0;0;0;4;1
Weidlingbach;0;WB2;LS;0;none;0;0;0;0;0;4;1
Weidlingbach;0;WB2;SS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB2;SS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB2;LS;1;mammal;1;0;1;0;0;4;0
Weidlingbach;0;WB2;SS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB2;SS;0;none;0;0;0;0;0;4;1
Weidlingbach;0;WB2;LS;0;none;0;0;0;0;0;4;1
Weidlingbach;0;WB2;SS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB2;LS;0;none;0;0;0;0;0;4;1
Weidlingbach;0;WB2;SS;0;none;0;0;0;0;0;4;1
Weidlingbach;0;WB2;SS;0;none;0;0;0;0;0;4;0
Weidlingbach;0;WB2;LS;0;none;0;0;0;0;0;4;0
Hahnbaum;0;HB1;LS;1;bird;1;1;0;0;0;4;0
Hahnbaum;0;HB1;SS;0;none;0;0;0;0;0;4;0
Hahnbaum;0;HB1;LS;0;none;0;0;0;0;0;4;0
Hahnbaum;0;HB1;SS;1;bird;1;1;0;0;0;4;0
Hahnbaum;0;HB1;LS;0;none;0;0;0;0;0;4;1
Hahnbaum;0;HB1;SS;0;none;0;0;0;0;0;4;0
Hahnbaum;0;HB1;LS;0;none;0;0;0;0;0;4;1
Hahnbaum;0;HB1;SS;0;none;0;0;0;0;0;4;0
Hahnbaum;0;HB1;LS;0;none;0;0;0;0;0;4;0
Hahnbaum;0;HB1;SS;0;none;0;0;0;0;0;4;0
Hahnbaum;0;HB1;LS;0;none;0;0;0;0;0;4;0
Hahnbaum;0;HB1;SS;0;none;0;0;0;0;0;4;1
Hahnbaum;0;HB1;LS;0;none;0;0;0;0;0;4;0
Hahnbaum;0;HB1;SS;0;none;0;0;0;0;0;4;0
Hahnbaum;0;HB1;LS;0;none;0;0;0;0;0;4;0
Hahnbaum;0;HB1;SS;0;none;0;0;0;0;0;4;0
Hahnbaum;0;HB1;LS;0;none;0;0;0;0;0;4;1
Hahnbaum;0;HB1;SS;0;none;0;0;0;0;0;4;0
Hahnbaum;0;HB1;LS;0;none;0;0;0;0;0;4;0
Hahnbaum;0;HB1;SS;0;none;0;0;0;0;0;4;0
Hahnbaum;0;HB1;SS;0;none;0;0;0;0;0;4;0
Hahnbaum;0;HB1;LS;0;none;0;0;0;0;0;4;0
Hahnbaum;0;HB1;SS;0;none;0;0;0;0;0;4;1
Hahnbaum;0;HB1;LS;0;none;0;0;0;0;0;4;0
Hahnbaum;0;HB1;SS;0;none;0;0;0;0;0;4;0
Hahnbaum;0;HB1;LS;0;none;0;0;0;0;0;4;0
Hahnbaum;0;HB1;SS;1;bird;0;1;0;0;0;4;0
Hahnbaum;0;HB1;LS;0;none;0;0;0;0;0;4;0
Hahnbaum;0;HB1;SS;0;none;0;0;0;0;0;4;0
